year,country,gov_party,value,gdp,tax_rate_variation_per_gov,tax_rate_variation_per_year,gdp_variation_per_gov,gdp_variation_per_year
2010,New Zealand,1,16.991699,146517541181.0,-0.05987681578753268,-0.05987681578753268,0.20716151078469802,0.20716151078469802
2011,New Zealand,1,15.900699,168291357112.0,-0.06420782289045968,-0.06420782289045968,0.14860893620990945,0.14860893620990945
2012,New Zealand,1,16.459485,176206659723.0,0.03514222865296679,0.03514222865296679,0.0470333280735995,0.0470333280735995
2013,New Zealand,1,16.941066,190906575136.0,0.029258570362316938,0.029258570362316938,0.08342428961600268,0.08342428961600268
2014,New Zealand,1,17.313243,201313497221.0,0.02196892450569532,0.02196892450569532,0.05451316738350265,0.05451316738350265
2015,New Zealand,1,17.632008,178064471138.0,0.018411628601296748,0.018411628601296748,-0.11548667329283657,-0.11548667329283657
2016,New Zealand,1,18.002131,188838342528.0,0.020991539931243253,0.020991539931243253,0.060505452441718344,0.060505452441718344
2017,New Zealand,2,18.285249,206556258845.0,,0.015726915885680537,,0.09382584108612835
2018,New Zealand,4,18.609475,211886686924.0,,0.017731560560099613,,0.025806180402405232
2019,New Zealand,4,18.950626,213091987153.0,0.018332113076806378,0.018332113076806378,0.005688418873774248,0.005688418873774248
2020,New Zealand,4,19.260547,212569779570.0,0.016354129937449002,0.016354129937449002,-0.002450620457281949,-0.002450620457281949
2021,New Zealand,5,19.417348,255551704626.0,,0.008141046046096223,,0.20220148481569966
2000,Norway,4,30.697523,171456390282.0,,,,
2001,Norway,4,31.443851,174240242225.0,0.024312319922359826,0.024312319922359826,0.016236501529171887,0.016236501529171887
2002,Norway,1,30.791699,195915371988.0,,-0.020740207680032485,,0.12439795472167936
2003,Norway,1,30.163239,229384929369.0,-0.020410046227069212,-0.020410046227069212,0.17083681102394577,0.17083681102394577
2004,Norway,1,30.089188,265267350723.0,-0.0024550082303826937,-0.0024550082303826937,0.15642885281394303,0.15642885281394303
2005,Norway,2,29.023742,309978579744.0,,-0.035409596297513946,,0.1685515722124762
2006,Norway,4,29.092233,346913357588.0,,0.002359826655019326,,0.11915267782213568
2007,Norway,4,29.541885,402645550185.0,0.015456084103272483,0.015456084103272483,0.16065161913767656,0.16065161913767656
2008,Norway,4,29.598011,464917553191.0,0.0018998787653530247,0.0018998787653530247,0.15465712455381264,0.15465712455381264
2009,Norway,4,29.278337,387974344023.0,-0.010800523048660193,-0.010800523048660193,-0.16549861075344208,-0.16549861075344208
2010,Norway,4,29.264825,431052143940.0,-0.0004615016214890577,-0.0004615016214890577,0.11103259939901133,0.11103259939901133
2011,Norway,4,29.393298,501360549669.0,0.004390014291901778,0.004390014291901778,0.16310881808022404,0.16310881808022404
2012,Norway,4,29.205443,512777309841.0,-0.006391082756348143,-0.006391082756348143,0.02277155667620323,0.02277155667620323
2013,Norway,3,29.209978,526014468085.0,,0.0001552792744832221,,0.02581463335049783
2014,Norway,1,28.701683,501736471833.0,,-0.017401416735062236,,-0.04615461688798428
2015,Norway,1,28.450366,388159512246.0,-0.008756176423521889,-0.008756176423521889,-0.22636775670715725,-0.22636775670715725
2016,Norway,1,27.909403,370956547619.0,-0.01901427208352957,-0.01901427208352957,-0.04431931740499884,-0.04431931740499884
2017,Norway,1,27.541322,401745275035.0,-0.013188422554219481,-0.013188422554219481,0.08299820454341278,0.08299820454341278
2018,Norway,1,27.403907,439788625884.0,-0.0049894119098568,-0.0049894119098568,0.09469520418301292,0.09469520418301292
2019,Norway,1,27.285776,408742840909.0,-0.004310735691812173,-0.004310735691812173,-0.07059251455763826,-0.07059251455763826
2020,Norway,1,27.472253,367633418887.0,0.006834220144591008,0.006834220144591008,-0.10057527106915698,-0.10057527106915698
2021,Norway,2,27.286378,490293364377.0,,-0.0067659175969294605,,0.3336474302617798
2000,Poland,1,27.804217,172220451787.0,,,,
2001,Poland,2,27.662878,190905493539.0,,-0.005083365591629585,,0.10849490613988988
2002,Poland,4,27.590122,199070432431.0,,-0.002630095104348751,,0.042769533451545216
2003,Poland,4,27.842343,217828661057.0,0.009141713835118193,0.009141713835118193,0.09422910472906021,0.09422910472906021
2004,Poland,4,28.084502,255107275407.0,0.0086975079647571,0.0086975079647571,0.1711373249466248,0.1711373249466248
2005,Poland,4,28.377936,306145913284.0,0.010448253631130777,0.010448253631130777,0.20006735517665097,0.20006735517665097
2006,Poland,2,28.710367,344626630395.0,,0.011714417849134628,,0.1256940414399812
2007,Poland,2,27.785682,429020755433.0,-0.03220735562175159,-0.03220735562175159,0.24488567508921233,0.24488567508921233
2008,Poland,2,25.040234,533599853343.0,-0.09880801198257427,-0.09880801198257427,0.24376232754625327,0.24376232754625327
2009,Poland,2,24.387427,439731636117.0,-0.026070323464229772,-0.026070323464229772,-0.17591499817309952,-0.17591499817309952
2010,Poland,2,24.48781,475696613936.0,0.004116178389790726,0.004116178389790726,0.08178847020556579,0.08178847020556579
2011,Poland,2,24.614558,524374222548.0,0.005175963060804589,0.005175963060804589,0.10232910469812406,0.10232910469812406
2012,Poland,2,24.689936,495230574357.0,0.003062334087006624,0.003062334087006624,-0.055577957378200926,-0.055577957378200926
2013,Poland,2,24.758744,515762008469.0,0.002786884502252285,0.002786884502252285,0.04145833309798719,0.04145833309798719
2014,Poland,2,24.881624,539080532037.0,0.0049630950584569344,0.0049630950584569344,0.045211789905230226,0.045211789905230226
2015,Poland,2,24.944558,477111287969.0,0.0025293365095462317,0.0025293365095462317,-0.1149535929888611,-0.1149535929888611
2016,Poland,1,25.00142,470024559638.0,,0.002279535279799294,,-0.014853407390898798
2017,Poland,1,25.109785,524641206562.0,0.004334353808703728,0.004334353808703728,0.11619955979760777,0.11619955979760777
2018,Poland,1,25.217764,588779850763.0,0.00430027576898806,0.00430027576898806,0.12225239534901133,0.12225239534901133
2019,Poland,1,24.988389,596058473059.0,-0.009095770743195009,-0.009095770743195009,0.012362213629708352,0.012362213629708352
2020,Poland,1,24.13379,599442783603.0,-0.03419984377544305,-0.03419984377544305,0.005677816350183829,0.005677816350183829
2021,Poland,1,24.192709,679441900611.0,0.0024413488308301368,0.0024413488308301368,0.1334558012812479,0.1334558012812479
2000,Portugal,4,22.448104,118605192877.0,,,,
2001,Portugal,4,21.340733,121604107165.0,-0.04933026860531298,-0.04933026860531298,0.025284848118834358,0.025284848118834358
2002,Portugal,2,22.744707,134795565549.0,,0.06578846190522136,,0.10847872404589931
2003,Portugal,1,22.493616,165226175537.0,,-0.01103953548401393,,0.22575379141043084
2004,Portugal,1,22.532698,189382122532.0,0.0017374707561470526,0.0017374707561470526,0.1461992745186469,0.1461992745186469
2005,Portugal,4,21.785167,197253876705.0,,-0.03317538805162168,,0.04156545542819079
